antennaPatternId,antennaManufacturer,antennaManufacturerPartId,antennaDescription,azimuthRadiationPattern,elevationRadiationPattern,twoDimRadiationPattern,recordTimeStamp
3GHz_450bHG_SM_BH_INT,Cambium Networks,C030045B02xx,3GHz PMP 450b High-Gain Integrated SM,3GHz_450bHG_SM_BH_INT_Az.csv,3GHz_450bHG_SM_BH_INT_El.csv,,2021-08-04T14:00:00Z
3GHz_450bHG_SM_BH_INT_2,Cambium Networks,C030045B02xx,3GHz PMP 450b High-Gain Integrated SM,3GHz_450bHG_SM_BH_INT_2_Az.csv,3GHz_450bHG_SM_BH_INT_2_El.csv,,2021-08-04T14:00:00Z
